Temperature,Meeting Friends/Family (Indoor) High ,Meeting Friends/Family (Indoor) Moderate ,Meeting Friends/Family (Outdoor) High ,Meeting Friends/Family (Outdoor) Moderate ,Domestic Travel High ,Domestic Travel Moderate ,International Travel High ,International Travel Moderate ,Cafes and Restaurants High ,Cafes and Restaurants Moderate ,Pubs and Bars High ,Pubs and Bars Moderate ,Sports and Leisure High ,Sports and Leisure Moderate ,Hospitals/ Care and Nursing Home Visits High ,Hospitals/ Care and Nursing Home Visits Moderate ,Non-Essential Shops ,School Closure ,Rt<1
7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
